,school,bpi,team_id
0,Gonzaga,20.7,334
1,Houston,18.7,6
2,Kentucky,18.4,268
3,Arizona,18.2,247
4,Baylor,17.8,108
5,Villanova,17.6,58
6,Tennessee,17.2,277
7,Duke,16.9,26
8,Purdue,16.5,94
9,Auburn,16.3,279
10,UCLA,16.3,253
11,Kansas,15.9,106
12,Texas Tech,15.5,111
13,Iowa,15.0,91
14,LSU,14.7,269
15,Illinois,14.5,102
16,Texas,13.9,109
18,Arkansas,12.9,276
19,Alabama,12.2,275
20,Virginia Tech,12.1,31
21,Ohio State,11.7,98
22,Saint Mary's,11.5,335
23,Memphis,11.5,7
24,Loyola Chicago,11.4,209
25,Wisconsin,11.1,96
26,Michigan,11.1,95
27,North Carolina,11.0,21
28,Murray State,10.7,240
29,San Francisco,10.6,338
30,San Diego State,10.6,212
31,Seton Hall,10.6,60
32,Providence,10.6,63
33,Wake Forest,10.4,34
34,Michigan State,10.2,97
35,Mississippi State,10.2,278
36,USC,10.0,246
37,Indiana,9.9,93
38,Oklahoma,9.9,105
39,Xavier,9.8,59
40,Oklahoma State,9.8,113
41,Florida,9.8,271
42,Dayton,9.5,44
43,Iowa State,9.3,110
44,TCU,9.2,114
45,SMU,9.2,1
46,Notre Dame,9.2,25
47,Saint Louis,9.2,54
48,UAB,9.1,134
49,Texas A&M,8.9,270
