,school,bpi
0,Gonzaga,20.7
1,Houston,18.7
2,Kentucky,18.4
3,Arizona,18.2
4,Baylor,17.8
5,Villanova,17.6
6,Tennessee,17.2
7,Duke,16.9
8,Purdue,16.5
9,Auburn,16.3
10,UCLA,16.3
11,Kansas,15.9
12,Texas Tech,15.5
13,Iowa,15.0
14,LSU,14.7
15,Illinois,14.5
16,Texas,13.9
17,UConn,13.5
18,Arkansas,12.9
19,Alabama,12.2
20,Virginia Tech,12.1
21,Ohio State,11.7
22,Saint Mary's,11.5
23,Memphis,11.5
24,Loyola Chicago,11.4
25,Wisconsin,11.1
26,Michigan,11.1
27,North Carolina,11.0
28,Murray State,10.7
29,San Francisco,10.6
30,San Diego State,10.6
31,Seton Hall,10.6
32,Providence,10.6
33,Wake Forest,10.4
34,Michigan State,10.2
35,Mississippi State,10.2
36,USC,10.0
37,Indiana,9.9
38,Oklahoma,9.9
39,Xavier,9.8
40,Oklahoma State,9.8
41,Florida,9.8
42,Dayton,9.5
43,Iowa State,9.3
44,TCU,9.2
45,SMU,9.2
46,Notre Dame,9.2
47,Saint Louis,9.2
48,UAB,9.1
49,Texas A&M,8.9
